"Vm","activationTime","activeTension","externalStimulusCurrent","ionicCurrent","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.045833,0.004055,0,0,3.0761e-05,1,0.003574,0.00334,0.000501,0.005831
0.045833,0.0040848,0,0,3.0814e-05,1,0.0035954,0.00336,0.000504,0.005824
0.045833,0.0041145,0,0,3.0859e-05,1,0.0036168,0.00338,0.000507,0.005817
0.045833,0.0041443,0,0,3.0895e-05,1,0.0036382,0.0034,0.00051,0.00581
0.045834,0.004174,0,0,3.0876e-05,1,0.0036596,0.00342,0.000513,0.005803
0.045834,0.0042045,0,0,3.0855e-05,1,0.003681,0.00344,0.000516,0.005796
0.045834,0.0042356,0,0,3.0839e-05,1,0.0037024,0.00346,0.000519,0.005789
0.045834,0.0042666,0,0,3.0827e-05,1,0.0037238,0.00348,0.000522,0.005782
0.045834,0.0042977,0,0,3.0817e-05,1,0.0037452,0.0035,0.000525,0.005775
0.045834,0.0043287,0,0,3.0837e-05,1,0.0037666,0.00352,0.000528,0.005768
0.045834,0.0043597,0,0,3.0857e-05,1,0.003788,0.00354,0.000531,0.005761
0.045834,0.0043907,0,0,3.0878e-05,1,0.0038094,0.00356,0.000534,0.005754
0.045834,0.0044217,0,0,3.0901e-05,1,0.0038308,0.00358,0.000537,0.005747
0.045834,0.0044526,0,0,3.0924e-05,1,0.0038522,0.0036,0.00054,0.00574
0.045834,0.0044836,0,0,3.0948e-05,1,0.0038736,0.00362,0.000543,0.005733
0.045834,0.0045145,0,0,3.0965e-05,1,0.003895,0.00364,0.000546,0.005726
0.045834,0.0045454,0,0,3.0975e-05,1,0.0039164,0.00366,0.000549,0.005719
0.045835,0.0045763,0,0,3.0977e-05,1,0.0039378,0.00368,0.000552,0.005712
0.045835,0.0046072,0,0,3.0972e-05,1,0.0039592,0.0037,0.000555,0.005705
0.045835,0.0046386,0,0,3.0953e-05,1,0.0039806,0.00372,0.000558,0.005698
0.045835,0.0046709,0,0,3.0931e-05,1,0.004002,0.00374,0.000561,0.005691
0.045835,0.0047033,0,0,3.0912e-05,1,0.0040234,0.00376,0.000564,0.005684
0.045835,0.0047356,0,0,3.0896e-05,1,0.0040448,0.00378,0.000567,0.005677
0.045835,0.0047678,0,0,3.0882e-05,1,0.0040662,0.0038,0.00057,0.00567
