time V u1 u2 u3 Iion
0.3793500 0.0000000 2.0690250 0.5919430 0.0000000 -0.0000000
0.3794000 0.0000000 2.0691000 0.5919215 0.0000000 -0.0000000
0.3794500 0.0000000 2.0691750 0.5919001 0.0000000 -0.0000000
0.3795000 0.0000000 2.0692500 0.5918786 0.0000000 -0.0000000
0.3795500 0.0000000 2.0693250 0.5918572 0.0000000 -0.0000000
0.3796000 0.0000000 2.0694000 0.5918357 0.0000000 -0.0000000
0.3796500 0.0000000 2.0694750 0.5918143 0.0000000 -0.0000000
0.3797000 0.0000000 2.0695500 0.5917928 0.0000000 -0.0000000
0.3797500 0.0000000 2.0696250 0.5917714 0.0000000 -0.0000000
0.3798000 0.0000000 2.0697000 0.5917499 0.0000000 -0.0000000
0.3798500 0.0000000 2.0697750 0.5917285 0.0000000 -0.0000000
0.3799000 0.0000000 2.0698500 0.5917071 0.0000000 -0.0000000
0.3799500 0.0000000 2.0699250 0.5916856 0.0000000 -0.0000000
0.3800000 0.0000000 2.0700000 0.5916642 0.0000000 -0.0000000
0.3800500 0.0000000 2.0700750 0.5916428 0.0000000 -0.0000000
0.3801000 0.0000000 2.0701500 0.5916213 0.0000000 -0.0000000
0.3801500 0.0000000 2.0702250 0.5915999 0.0000000 -0.0000000
0.3802000 0.0000000 2.0703000 0.5915785 0.0000000 -0.0000000
0.3802500 0.0000000 2.0703750 0.5915570 0.0000000 -0.0000000
0.3803000 0.0000000 2.0704500 0.5915356 0.0000000 -0.0000000
0.3803500 0.0000000 2.0705250 0.5915142 0.0000000 -0.0000000
0.3804000 0.0000000 2.0706000 0.5914927 0.0000000 -0.0000000
0.3804500 0.0000000 2.0706750 0.5914713 0.0000000 -0.0000000
0.3805000 0.0000000 2.0707500 0.5914499 0.0000000 -0.0000000
0.3805500 0.0000000 2.0708250 0.5914285 0.0000000 -0.0000000
0.3806000 0.0000000 2.0709000 0.5914071 0.0000000 -0.0000000
0.3806500 0.0000000 2.0709750 0.5913856 0.0000000 -0.0000000
0.3807000 0.0000000 2.0710500 0.5913642 0.0000000 -0.0000000
0.3807500 0.0000000 2.0711250 0.5913428 0.0000000 -0.0000000
0.3808000 0.0000000 2.0712000 0.5913214 0.0000000 -0.0000000
0.3808500 0.0000000 2.0712750 0.5913000 0.0000000 -0.0000000
0.3809000 0.0000000 2.0713500 0.5912786 0.0000000 -0.0000000
0.3809500 0.0000000 2.0714250 0.5912572 0.0000000 -0.0000000
0.3810000 0.0000000 2.0715000 0.5912358 0.0000000 -0.0000000
0.3810500 0.0000000 2.0715750 0.5912144 0.0000000 -0.0000000
0.3811000 0.0000000 2.0716500 0.5911929 0.0000000 -0.0000000
0.3811500 0.0000000 2.0717250 0.5911715 0.0000000 -0.0000000
0.3812000 0.0000000 2.0718000 0.5911501 0.0000000 -0.0000000
0.3812500 0.0000000 2.0718750 0.5911287 0.0000000 -0.0000000
0.3813000 0.0000000 2.0719500 0.5911073 0.0000000 -0.0000000
0.3813500 0.0000000 2.0720250 0.5910860 0.0000000 -0.0000000
0.3814000 0.0000000 2.0721000 0.5910646 0.0000000 -0.0000000
0.3814500 0.0000000 2.0721750 0.5910432 0.0000000 -0.0000000
0.3815000 0.0000000 2.0722500 0.5910218 0.0000000 -0.0000000
0.3815500 0.0000000 2.0723250 0.5910004 0.0000000 -0.0000000
0.3816000 0.0000000 2.0724000 0.5909790 0.0000000 -0.0000000
0.3816500 0.0000000 2.0724750 0.5909576 0.0000000 -0.0000000
0.3817000 0.0000000 2.0725500 0.5909362 0.0000000 -0.0000000
0.3817500 0.0000000 2.0726250 0.5909148 0.0000000 -0.0000000
0.3818000 0.0000000 2.0727000 0.5908935 0.0000000 -0.0000000
0.3818500 0.0000000 2.0727750 0.5908721 0.0000000 -0.0000000
0.3819000 0.0000000 2.0728500 0.5908507 0.0000000 -0.0000000
0.3819500 0.0000000 2.0729250 0.5908293 0.0000000 -0.0000000
0.3820000 0.0000000 2.0730000 0.5908079 0.0000000 -0.0000000
0.3820500 0.0000000 2.0730750 0.5907866 0.0000000 -0.0000000
0.3821000 0.0000000 2.0731500 0.5907652 0.0000000 -0.0000000
0.3821500 0.0000000 2.0732250 0.5907438 0.0000000 -0.0000000
0.3822000 0.0000000 2.0733000 0.5907225 0.0000000 -0.0000000
0.3822500 0.0000000 2.0733750 0.5907011 0.0000000 -0.0000000
0.3823000 0.0000000 2.0734500 0.5906797 0.0000000 -0.0000000
0.3823500 0.0000000 2.0735250 0.5906584 0.0000000 -0.0000000
0.3824000 0.0000000 2.0736000 0.5906370 0.0000000 -0.0000000
0.3824500 0.0000000 2.0736750 0.5906156 0.0000000 -0.0000000
0.3825000 0.0000000 2.0737500 0.5905943 0.0000000 -0.0000000
0.3825500 0.0000000 2.0738250 0.5905729 0.0000000 -0.0000000
0.3826000 0.0000000 2.0739000 0.5905516 0.0000000 -0.0000000
0.3826500 0.0000000 2.0739750 0.5905302 0.0000000 -0.0000000
0.3827000 0.0000000 2.0740500 0.5905088 0.0000000 -0.0000000
0.3827500 0.0000000 2.0741250 0.5904875 0.0000000 -0.0000000
0.3828000 0.0000000 2.0742000 0.5904661 0.0000000 -0.0000000
0.3828500 0.0000000 2.0742750 0.5904448 0.0000000 -0.0000000
0.3829000 0.0000000 2.0743500 0.5904234 0.0000000 -0.0000000
0.3829500 0.0000000 2.0744250 0.5904021 0.0000000 -0.0000000
0.3830000 0.0000000 2.0745000 0.5903808 0.0000000 -0.0000000
0.3830500 0.0000000 2.0745750 0.5903594 0.0000000 -0.0000000
0.3831000 0.0000000 2.0746500 0.5903381 0.0000000 -0.0000000
0.3831500 0.0000000 2.0747250 0.5903167 0.0000000 -0.0000000
0.3832000 0.0000000 2.0748000 0.5902954 0.0000000 -0.0000000
0.3832500 0.0000000 2.0748750 0.5902741 0.0000000 -0.0000000
0.3833000 0.0000000 2.0749500 0.5902527 0.0000000 -0.0000000
0.3833500 0.0000000 2.0750250 0.5902314 0.0000000 -0.0000000
0.3834000 0.0000000 2.0751000 0.5902100 0.0000000 -0.0000000
0.3834500 0.0000000 2.0751750 0.5901887 0.0000000 -0.0000000
0.3835000 0.0000000 2.0752500 0.5901674 0.0000000 -0.0000000
0.3835500 0.0000000 2.0753250 0.5901461 0.0000000 -0.0000000
